region,comuna,titulo,fecha,bajada,link,medio,label,score
Arica y Parinacota,Arica,20 mil toneladas de desechos tóxicos en Arica: el crimen ambiental del que Suecia ni Chile se hace cargo,2021-05-30,"En 1998 la Corte Suprema ordenó medidas de seguridad para las miles de toneladas de desechos tóxicos, de origen sueco que fueron vertidos",https://www.elmostrador.cl/destacado/2021/05/30/inclumplimiento-toxico-hace-22-anos-la-corte-suprema-ordeno-retirar-las-20-mil-toneladas-de-desechos-quimicos-suecos-de-arica-pero-siguen-ahi/,El Mostrador,conflicto,0.6182997226715088
Arica y Parinacota,Arica,Tribunal concluyó que Pampa Camarones causó daño ambiental irreparable y la condenó a repararlo,2024-11-28,Acogió demanda de reparación por daño ambiental presentada por el Estado en contra del titular del proyecto minero ubicado en la Región de,https://tribunalambiental.cl/sentencia-d-25-2016-pampa-camarones/,Tribunal Ambiental |,conflicto,0.5149974226951599
Arica y Parinacota,Arica,La olvidada zona gris de Arica,2021-07-09,En 2015 Alejandra Yucra desocupó la casa que fue su hogar por casi 20 años. La esperanza de la vivienda propia en el Cerro Chuño de Arica se,https://doble-espacio.uchile.cl/2021/07/09/la-olvidada-zona-gris-de-arica/,Universidad de Chile,conflicto,0.6994308829307556
Arica y Parinacota,Arica,Minera de LarrainVial suma multas ambientales morosas por más de $2.500 millones,2019-07-24,"El proyecto Pampa Camarones SpA, propiedad de Minería Activa -una empresa de LarrainVial- está a la cabeza del ránking de multas impagas en",https://interferencia.cl/articulos/minera-de-larrainvial-suma-multas-ambientales-morosas-por-mas-de-2500-millones,Interferencia |,conflicto,0.6499269604682922
Arica y Parinacota,Arica,Polémica en Arica por toma ilegal en humedal del Río Lluta,2022-03-10,"La comunidad ecológica ""Bella Vista Hermosa"" instaló viviendas en el lugar de 52 hectáreas. El Comité Ambiental de Arica advirtió que la",https://cooperativa.cl/noticias/pais/region-de-arica/polemica-en-arica-por-toma-ilegal-en-humedal-del-rio-lluta/2022-03-10/134509.html,Cooperativa.cl,conflicto,0.8715251684188843
Arica y Parinacota,Arica,Nuevo traspié para Quiborax: CDE rechaza mediación por conflicto en Salar de Surire,2024-09-20,Empresa espera que ahora Tribunal Ambiental lidere propuesta.hace 2 meses,https://www.soychile.cl/arica/sociedad/2024/09/10/876207/mediacion-quiborax-arica.html,soychile.cl,conflicto,0.6058617234230042
Arica y Parinacota,Arica,El sueño de la casa propia ¿Cómo enfrentamos el problema de la vivienda en Arica?,2021-11-18,"El problema de la vivienda en Arica y Parinacota, ha sido un problema histórico en la región. Actualmente el déficit habitacional es de",https://www.laizquierdadiario.cl/El-sueno-de-la-casa-propia-Como-enfrentamos-el-problema-de-la-vivienda-en-Arica,La Izquierda Diario Chile,conflicto,0.5006496906280518
Arica y Parinacota,Arica,La realidad del agua salobre en Arica: Nuestra vida junto a químicos que nos hacen mal,2020-08-03,Científicos de Arica investigan problemas ambientales del pasado y presente,https://www.elmorrocotudo.cl/noticia/sociedad/la-realidad-del-agua-envenenada-en-arica-nuestra-vida-junto-quimicos-que-nos-hacen-,El MorroCotudo,conflicto,0.5868239402770996
Arica y Parinacota,Arica,Quiborax: la sorpresa del litio en los depósitos de desechos de minera en Arica,2023-08-22,"Compartir. La singularidad del proyecto de Quiborax radica en que el litio se encuentra ya extraído en material de desecho, lo que reduce el",https://www.reporteminero.cl/noticia/noticias/2023/08/quiborax-litio-depositos-desechos-minera-arica,Reporte Minero,conflicto,0.8465662002563477
Arica y Parinacota,Arica,Organizaciones de Arica y Parinacota alzan la voz por grave contaminación de desechos tóxicos a causa de la minería,2013-08-13,"23 Julio, 2013. Señalan: “Condenamos y denunciamos, la larga historia de este conflicto, con desarticulación e intervención política de los",https://www.cric-colombia.org/portal/organizaciones-de-arica-y-parinacota-alzan-la-voz-por-grave-contaminacion-de-desechos-toxicos-a-causa-de-la-mineria/,Consejo Regional Indígena del Cauca - CRIC,conflicto,0.6970199942588806
Arica y Parinacota,Arica,Pueblos de Arica y Parinacota contra Transnacional Minera,2018-10-17,"Convocadas por la organización ""Belén dice No a la Minería"" más de un centenar de personas se movilizaron por las calles de la ciudad este",https://www.laizquierdadiario.cl/Pueblos-de-Arica-y-Parinacota-contra-Transnacional-Minera,La Izquierda Diario Chile,conflicto,0.6075827479362488
Arica y Parinacota,Arica,Arica: Primer Tribunal Ambiental alista pronunciamiento por causa del CDE contra minera Quiborax,2024-07-21,El empresa reclama que nunca han tenido una sanción en 37 años por Salar de Surire.hace 4 meses,https://www.soychile.cl/arica/sociedad/2024/07/18/869030/salar-quiborax-cde.html,soychile.cl,conflicto,0.5595988631248474
Arica y Parinacota,Arica,Arica va a paro este lunes en contra de termoeléctrica y proyecto minero,2013-09-30,"En rechazo a la central termoeléctrica Cerro Chuño, al proyecto minero los Pumas y a las semillas transgénicas organizaciones sociales,",https://www.elciudadano.com/organizacion-social/arica-va-a-paro-este-lunes-en-contra-de-termoelectrica-y-proyecto-minero/09/30/,elciudadano.com,conflicto,0.6350801587104797
Arica y Parinacota,Arica,Crisis migratoria en Chile y Perú: qué está pasando en la frontera entre Arica y Tacna,2023-05-05,"Cientos de personas, en su mayoría venezolanos, han intentado cruzar la zona limítrofe para retornar a su nación de origen. El conflicto",https://elpais.com/chile/2023-05-05/crisis-migratoria-en-chile-y-peru-que-esta-pasando-en-la-frontera-entre-arica-y-tacna.html,EL PAÍS,conflicto,0.9361920356750488
Arica y Parinacota,Arica,Pueblos de Chile y Perú afectados por conflictos socioambientales fortalecen frente común contra la minería,2013-09-26,"Mientras los gobiernos de Perú y Chile concentran esfuerzos en sus divergencias ante el juicio en La Haya, los pueblos bifronterizos se unen",https://www.elmorrocotudo.cl/noticia/sociedad/pueblos-de-chile-y-peru-afectados-por-conflictos-socioambientales-fortalecen-frente,elmorrocotudo.cl,conflicto,0.5038827061653137
Arica y Parinacota,Arica,Justicia acoge denuncia por contaminación del agua con metales pesados,2013-07-04,El Segundo Tribunal Ambiental declaró admisible una denuncia presentada por organizaciones de la región de Arica y Parinacota por,https://www.elamaule.cl/noticia/sociedad/justicia-acoge-denuncia-por-contaminacion-del-agua-con-metales-pesados,www.elamaule.cl,conflicto,0.791196346282959
Arica y Parinacota,Arica,Ariqueños demandan al Estado por la complicidad en la contaminación del agua con arsénico y plomo,2013-08-13,VÍA RADIO U DE CHILE. Organizaciones socio ambientales de la Región de Arica y Parinacota interpusieron una demanda contra el Estado por la,https://www.gamba.cl/2013/08/ariquenos-demandan-al-estado-por-la-complicidad-en-la-contaminacion-del-agua-con-arsenico-y-plomo/,Gamba,conflicto,0.8436316847801208
Arica y Parinacota,Camarones,"La estela del gobierno de Piñera, conflictos de interés y financiamiento al proyecto minero Pampa Camarones",2022-11-19,"El miércoles 16 de noviembre, la revista CIPER publicó una investigación sobre la participación de la familia Piñera en el proyecto minero",https://www.laizquierdadiario.cl/La-estela-del-gobierno-de-Pinera-conflictos-de-interes-y-financiamiento-al-proyecto-minero-Pampa,La Izquierda Diario Chile,conflicto,0.8022608757019043
Arica y Parinacota,Camarones,Tribunal concluyó que Pampa Camarones causó daño ambiental irreparable y la condenó a repararlo,2024-11-28,Acogió demanda de reparación por daño ambiental presentada por el Estado en contra del titular del proyecto minero ubicado en la Región de,https://tribunalambiental.cl/sentencia-d-25-2016-pampa-camarones/,Tribunal Ambiental |,conflicto,0.5149974226951599
Arica y Parinacota,Camarones,SMA sanciona a minera Pampa Camarones por daño ambiental irreparable,2015-02-04,"La Superintendencia del Medio Ambiente (SMA) aplicó una multa de 4.313,3 UTA en contra del proyecto minero ubicado en la Región de Arica y",https://portal.sma.gob.cl/index.php/sma-sanciona-a-minera-pampa-camarones-por-dano-ambiental-irreparable/,Superintendencia Del Medio Ambiente – Gobierno de Chile,conflicto,0.8744149804115295
Arica y Parinacota,Camarones,Minera de LarrainVial suma multas ambientales morosas por más de $2.500 millones,2019-07-24,"El proyecto Pampa Camarones SpA, propiedad de Minería Activa -una empresa de LarrainVial- está a la cabeza del ránking de multas impagas en",https://interferencia.cl/articulos/minera-de-larrainvial-suma-multas-ambientales-morosas-por-mas-de-2500-millones,Interferencia |,conflicto,0.6499269604682922
Arica y Parinacota,Camarones,Derrumbe en mina Pampa Camarones deja a trabajador atrapado a 160 metros de profundidad,2024-07-09,"Durante esta jornada, el seremi de Minería de Arica y Parinacota, Daniel Curiqueo, confirmó que se trabaja intensamente en el",https://www.biobiochile.cl/noticias/nacional/region-de-arica-y-parinacota/2024/07/09/derrumbe-en-mina-de-arica-deja-a-trabajador-atrapado-a-160-metros-de-profundidad-gope-intenta-rescate.shtml,BioBioChile,conflicto,0.5999962091445923
Arica y Parinacota,Camarones,Escasez hídrica y minería: Comunidades indígenas manifestaron preocupación por causes de las cuencas de Codpa y Camarones,2023-01-17,"En el trascurso de los últimos 10 años, las comunidades del alto de Camarones se han visto afectadas por el impulso de la minería.hace 22 meses",https://www.elmorrocotudo.cl/noticia/medioambiente/comunidades-indigenas-manifestaron-preocupacion-por-causes-de-las-cuencas-de-c,elmorrocotudo.cl,conflicto,0.5688459277153015
Arica y Parinacota,Camarones,SMA ordena Medidas Urgentes y Transitorias a la empresa Engie Energía Chile por proyecto en Arica,2024-07-11,"Esto, por efectos no previstos en la evaluación ambiental del proyecto subestación seccionadora Roncacho. Lo anterior, tras la aparición de",https://portal.sma.gob.cl/index.php/sma-ordena-medidas-urgentes-y-transitorias-a-la-empresa-engie-energia-chile-por-proyecto-en-arica/,Superintendencia Del Medio Ambiente – Gobierno de Chile,conflicto,0.7103487849235535
Arica y Parinacota,Camarones,#EnCorto: Comunidades aymaras de Chile frenan a la minería en el cerro Anocarire,2023-03-21,"Desde 2017, una minera canadiense explora territorios cercanos a la Reserva Nacional Las Vicuñas, en donde se encuentran áreas sagradas para",https://es.mongabay.com/2023/02/en-corto-comunidades-aymaras-frenan-a-la-mineria-en-anocarire/,Mongabay - Conservation News,conflicto,0.5898979306221008
Arica y Parinacota,Camarones,Pueblos de Chile y Perú afectados por conflictos socioambientales fortalecen frente común contra la minería,2013-09-26,"Mientras los gobiernos de Perú y Chile concentran esfuerzos en sus divergencias ante el juicio en La Haya, los pueblos bifronterizos se unen",https://www.elmorrocotudo.cl/noticia/sociedad/pueblos-de-chile-y-peru-afectados-por-conflictos-socioambientales-fortalecen-frente,elmorrocotudo.cl,conflicto,0.5038827061653137
Arica y Parinacota,General Lagos,#EnCorto: Comunidades aymaras de Chile frenan a la minería en el cerro Anocarire,2023-03-21,"Desde 2017, una minera canadiense explora territorios cercanos a la Reserva Nacional Las Vicuñas, en donde se encuentran áreas sagradas para",https://es.mongabay.com/2023/02/en-corto-comunidades-aymaras-frenan-a-la-mineria-en-anocarire/,Mongabay - Conservation News,conflicto,0.5898979306221008
Arica y Parinacota,General Lagos,Escasez hídrica y minería: Comunidades indígenas manifestaron preocupación por causes de las cuencas de Codpa y Camarones,2023-01-17,"En el trascurso de los últimos 10 años, las comunidades del alto de Camarones se han visto afectadas por el impulso de la minería.hace 22 meses",https://www.elmorrocotudo.cl/noticia/medioambiente/comunidades-indigenas-manifestaron-preocupacion-por-causes-de-las-cuencas-de-c,elmorrocotudo.cl,conflicto,0.5688459277153015
Arica y Parinacota,General Lagos,Las posibles razones de la mortandad de camélidos en General Lagos,2014-11-08,"Los ganaderos de la comuna de General Lagos no lo están pasando bien y es que estas últimas semanas, la gran mortandad de camélidos tiene en",https://www.elmorrocotudo.cl/noticia/sociedad/las-posibles-razones-de-la-mortandad-de-camelidos-en-general-lagos,elmorrocotudo.cl,conflicto,0.5575297474861145
Arica y Parinacota,Putre,Consejo de Defensa del Estado presenta demanda contra minera Quiborax por daño ambiental al Salar de Surire,2024-07-03,"La medida del CDE busca que la empresa repare el ""grave daño ambiental provocado al salar"".hace 4 meses",https://www.latercera.com/pulso/noticia/consejo-de-defensa-del-estado-presenta-demanda-contra-minera-quiborax-por-dano-ambiental-al-salar-de-surire/V35ALWQSABF35CFAIWMMX75WTI/,La Tercera,conflicto,0.731139600276947
Arica y Parinacota,Putre,¡Altiplano en peligro! El territorio que muchos codician y que pocos están cuidando,2023-02-09,"No exageramos al decir que parece de otro planeta: no solo por sus paisajes y sus condiciones extremas de altitud, radiación, temperaturas y",https://laderasur.com/articulo/altiplano-en-peligro-el-territorio-que-muchos-codician-y-que-pocos-estan-cuidando/,Ladera Sur,conflicto,0.6500635743141174
Arica y Parinacota,Putre,Choquelimpie: la minera en Chile que busca reactivarse en plena Reserva Nacional Las Vicuñas,2022-01-18,Ya fueron tomadas 10 mil muestras de perforaciones en la propiedad de la canadiense Norsemont Mining para identificar las zonas,https://es.mongabay.com/2022/01/choquelimpie-la-minera-en-chile-que-busca-reactivarse/,Mongabay - Conservation News,conflicto,0.6904830932617188
Arica y Parinacota,Putre,ARICA: TRABAJADORES DE QUIBORAX PREOCUPADOS POR POSIBLE CIERRE DE LA EMPRESA MIENTRAS DURA JUICIO INTERPUESTO POR EVENTUAL DAÑO AL SALAR DE SURIRE,2024-08-22,"De acuerdo con la información consignada por Soy Arica, decenas de trabajadores de la empresa Quiborax marcharon por el centro de la ciudad",https://vilasradio.cl/arica-trabajadores-de-quiborax-preocupados-por-posible-cierre-de-la-empresa-mientras-dura-juicio-interpuesto-por-eventual-dano-al-salar-de-surire/,Vilas Radio,conflicto,0.5929483771324158
Arica y Parinacota,Putre,Crisis en Socoroma tras derrame de combustible a río,2024-04-10,"La Comisión de Seguridad, Prevención y Desastres del Consejo Regional sesionó en Socoroma para buscar la manera de enfrentar la emergencia",https://www.aricaldia.cl/crisis-en-socoroma-tras-derrame-de-combustible-a-rio/,Arica al día,conflicto,0.938096523284912
Arica y Parinacota,Putre,Ariqueños demandan al Estado por la complicidad en la contaminación del agua con arsénico y plomo,2013-08-13,VÍA RADIO U DE CHILE. Organizaciones socio ambientales de la Región de Arica y Parinacota interpusieron una demanda contra el Estado por la,https://www.gamba.cl/2013/08/ariquenos-demandan-al-estado-por-la-complicidad-en-la-contaminacion-del-agua-con-arsenico-y-plomo/,Gamba,conflicto,0.8436316847801208
Tarapacá,Alto Hospicio,Un mega basurero textil en el desierto de Atacama amenaza con abrir un conflicto con Chile,2024-08-19,"El empresario Guillermo Whpei fue hasta Chile para liderar una investigación sobre el desastre ambiental. ""Es algo apocalíptico"", alertó.hace 3 meses",https://www.lapoliticaonline.com/internacionales/un-mega-basurero-textil-en-el-desierto-de-atacama-amenaza-con-abrir-un-conflicto-con-chile/,La Política Online,conflicto,0.7259215712547302
Tarapacá,Alto Hospicio,Geografía de la Ropa desechada en Chile: Desierto de Atacama se ha convertido en un gran basural textil,2021-12-27,La industria de ropa es una de las más contaminantes del mundo. Su producción implica el uso de grandes volúmenes de agua y además la,https://uchile.cl/noticias/182923/geografia-de-la-ropa-desechada-en-chile-la-moda-que-nos-mata,Universidad de Chile,conflicto,0.7928227782249451
Tarapacá,Alto Hospicio,"""Hemos transformado nuestra ciudad en el basurero del mundo"": el inmenso cementerio de ropa usada en el desierto de Atacama en Chile",2022-01-26,"En noviembre, imágenes de estos basureros clandestinos de ropa usada dieron la vuelta al mundo. La BBC viajó hasta allá para averiguar en",https://www.bbc.com/mundo/noticias-america-latina-60024852,BBC,conflicto,0.5026196837425232
Tarapacá,Alto Hospicio,SMA inicia proceso de sanción contra Relleno Sanitario Iquique,2017-01-06,La Superintendencia detectó 8 incumplimientos ambientales en la instalación que recibe desechos de Iquique y Alto Hospicio.hace 94 meses,https://portal.sma.gob.cl/index.php/sma-inicia-proceso-de-sancion-contra-relleno-sanitario-iquique/,Superintendencia Del Medio Ambiente – Gobierno de Chile,conflicto,0.6227033138275146
Tarapacá,Alto Hospicio,Plásticos en el desierto: más allá de un problema ambiental,2022-08-05,"Gisselle Bracamonte Endre, directora MORE GREEN RECYCLE y gestora medioambiental. En los últimos años, Chile ha enfrentado importantes",https://www.diariosustentable.com/2022/08/plasticos-en-el-desierto-mas-alla-de-un-problema-ambiental/,Diario Sustentable,conflicto,0.7083643674850464
Tarapacá,Alto Hospicio,"Desierto de Atacama: el ""cementerio tóxico"" de ropa que se descarta en otras partes del mundo",2021-11-09,"Unas 59.000 toneladas de ropa anuales entran por la zona franca del puerto de Iquique, en la región de Tarapacá. Falta de lugares para",https://www.biobiochile.cl/especial/aqui-tierra/noticias/2021/11/09/desierto-de-atacama-el-cementerio-toxico-de-ropa-que-se-descarta-en-otras-partes-del-mundo.shtml,BioBioChile,conflicto,0.5889308452606201
Tarapacá,Alto Hospicio,"Alto Hospicio por cementerio de ropa en el desierto de Atacama: ""El Estado nos ha abandonado""",2021-11-10,"La comuna se ha visto invadida por toneladas de ropa usada traducidas en un vertedero ilegal. ""La Zona Franca (de Iquique) no ha sido capaz",https://cooperativa.cl/noticias/pais/region-de-tarapaca/alto-hospicio-por-cementerio-de-ropa-en-el-desierto-de-atacama-el/2021-11-10/182333.html,Cooperativa.cl,conflicto,0.6138978600502014
Tarapacá,Alto Hospicio,Importadores de Zofri protestaron contra sello rojo para autos usados en Tarapacá,2024-03-25,"Este lunes 25 de marzo, una caravana de vehículos y camiones pertenecientes al gremio de importadores de autos de Zona Franca de Iquique",https://radiopaulina.cl/2024/03/25/importadores-de-zofri-protestaron-contra-sello-rojo-para-autos-usados-en-tarapaca/,Radio Paulina,conflicto,0.6543111801147461
Tarapacá,Colchane,Colchane y la frontera: cómo la narrativa del “choque cultural” aumentó la tensión con los migrantes,2021-08-06,"Entre enero y febrero de 2021, Colchane duplicó el número de su población habitual luego de que miles de migrantes llegaran hasta esa ciudad",https://www.ciperchile.cl/2021/08/06/colchane-y-la-frontera-como-la-narrativa-del-choque-cultural-aumento-la-tension-con-los-migrantes/,- CIPER Chile,conflicto,0.8730140328407288
Tarapacá,Iquique,Un mega basurero textil en el desierto de Atacama amenaza con abrir un conflicto con Chile,2024-08-19,"El empresario Guillermo Whpei fue hasta Chile para liderar una investigación sobre el desastre ambiental. ""Es algo apocalíptico"", alertó.hace 3 meses",https://www.lapoliticaonline.com/internacionales/un-mega-basurero-textil-en-el-desierto-de-atacama-amenaza-con-abrir-un-conflicto-con-chile/,La Política Online,conflicto,0.7259215712547302
Tarapacá,Iquique,Territorios de castigo social: El caso de los asentamientos costeros de Tarapacá,2021-04-26,"Dr. Bosco González, Escuela de Sociología UNAP (SER+T) . Diego Jiménez, estudiante Sociología UNAP y Alexandra Gómez, Egresada de Sociología",https://edicioncero.cl/2021/04/territorios-de-castigo-social-el-caso-de-los-asentamientos-costeros-de-tarapaca/,Edición Cero,conflicto,0.8656408190727234
Tarapacá,Iquique,Conflicto Negreiros: Trabajadores de Cosayach dialogan con delegado presidencial de Tarapacá,2023-12-21,"Los operarios de la minera ayer incendiaron vehículos y maquinarias, además bloquearon el tránsito de la Ruta 5 Norte.hace 11 meses",https://www.soychile.cl/Iquique/Sociedad/2023/12/13/839334/conflicto-cosayach.html,soychile.cl,conflicto,0.8628991842269897
Tarapacá,Iquique,En Iquique darán el vamos al CircularFest2023,2023-09-27,CircularFest2023 comienza mañana en Iquique con charlas de expertos nacionales e internacionales sobre el tema “Regiones circulares y,https://www.paiscircular.cl/economia-circular/en-iquique-daran-el-vamos-al-circularfest2023-con-actividades-en-torno-al-tema-regiones-circulares-y-emprendedoras/,País Circular,conflicto,0.5261949896812439
Tarapacá,Iquique,Geografía de la Ropa desechada en Chile: Desierto de Atacama se ha convertido en un gran basural textil,2021-12-27,La industria de ropa es una de las más contaminantes del mundo. Su producción implica el uso de grandes volúmenes de agua y además la,https://uchile.cl/noticias/182923/geografia-de-la-ropa-desechada-en-chile-la-moda-que-nos-mata,Universidad de Chile,conflicto,0.7928227782249451
Tarapacá,Iquique,"Desierto de Atacama: el ""cementerio tóxico"" de ropa que se descarta en otras partes del mundo",2021-11-09,"Unas 59.000 toneladas de ropa anuales entran por la zona franca del puerto de Iquique, en la región de Tarapacá. Falta de lugares para",https://www.biobiochile.cl/especial/aqui-tierra/noticias/2021/11/09/desierto-de-atacama-el-cementerio-toxico-de-ropa-que-se-descarta-en-otras-partes-del-mundo.shtml,BioBioChile,conflicto,0.5889308452606201
Tarapacá,Iquique,CONADI y la Universidad de Tarapacá convocan a la VIII Versión del Congreso Internacional de Derecho Indígena,2023-10-21,"El congreso se realizará el día 05 de octubre desde las 8:30 de horas en el hotel Gavina de Iquique, ubicado en Av. Arturo Prat #1497.hace 13 meses",https://ceinoticias.cl/conadi-y-la-universidad-de-tarapaca-convocan-a-la-viii-version-del-congreso-internacional-de-derecho-indigena/,CEI Noticias,conflicto,0.5016444325447083
Tarapacá,Iquique,Ambientalistas informan sobre II Encuentro de conflictos socio ambientales del Norte Grande,2014-08-30,"Comunicado Público/ La Coordinadora de Conflictos Socio-ambientales de Tarapacá, informa a la comunidad en general, sobre la realización de",https://edicioncero.cl/2014/08/ambientalistas-informan-sobre-ii-encuentro-de-conflictos-socio-ambientales-del-norte-grande/,Edición Cero,conflicto,0.6135396957397461
Tarapacá,Iquique,La “cuestión indígena” y los derechos originarios en América,2024-12-04,"Foto: Conadi. Los días 4 y 5 de setiembre de 2019, se realizó en Iquique, al norte de Chile, el “VI Congreso Internacional de Derecho",https://desinformemonos.org/la-cuestion-indigena-y-los-derechos-originarios-en-america/,Desinformémonos,conflicto,0.7609990835189819
Tarapacá,Pica,La SMA presentó cargos contra Collahuasi por supuesta infracción a su Resolución de Calificación Ambiental,2017-12-27,Compartir. Son 13 las supuestas infracciones a la RCA del proyecto entre las que se cuenta la ausencia de información en el seguimiento de,https://www.reporteminero.cl/noticia/noticias/2017/12/la-sma-presento-cargos-contra-collahuasi-por-supuesta-infraccion-a-su-resolucion-de-calificacion-ambiental,Reporte Minero,conflicto,0.6470049619674683
Tarapacá,Pozo Almonte,SMA formula cargo grave contra Minera Cosayach Yodo por elusión al SEIA en proyecto de ampliación de planta química de faena Soledad,2024-09-06,"El titular modificó sustantivamente la extensión, magnitud y duración de los impactos ambientales del proyecto, al relocalizar sus",https://portal.sma.gob.cl/index.php/sma-formula-cargo-grave-contra-minera-cosayach-yodo-por-elusion-al-seia-en-proyecto-de-ampliacion-de-planta-quimica-de-faena-soledad/,Superintendencia Del Medio Ambiente – Gobierno de Chile,conflicto,0.7824629545211792
Tarapacá,Pozo Almonte,Minera de Fra Fra se instaló en terreno fiscal tras ser expulsada de predio privado que explotó por 28 años,2024-03-25,"En 2022, la justicia ordenó a Francisco Javier Errázuriz Ovalle que se retirara del terreno privado de otra minera en Pozo Almonte,",https://interferencia.cl/articulos/minera-de-fra-fra-se-instalo-en-terreno-fiscal-tras-ser-expulsada-de-predio-privado-que,Interferencia |,conflicto,0.602236270904541
Tarapacá,Pozo Almonte,Conflicto Negreiros: Trabajadores de Cosayach dialogan con delegado presidencial de Tarapacá,2023-12-21,"Los operarios de la minera ayer incendiaron vehículos y maquinarias, además bloquearon el tránsito de la Ruta 5 Norte.hace 11 meses",https://www.soychile.cl/Iquique/Sociedad/2023/12/13/839334/conflicto-cosayach.html,soychile.cl,conflicto,0.8628991842269897
Tarapacá,Pozo Almonte,SEA rechaza reclamaciones de comunidades indígenas contra proyecto de expansión de Collahuasi y viabiliza inversión de US$ 3.200 millones,2023-08-25,La repartición pública liderada por Valentina Durán desestimó los recursos interpuestos por la Asociación Indígena Aymara de Caleta de,https://www.df.cl/empresas/mineria/sea-rechaza-reclamaciones-de-comunidades-indigenas-contra-proyecto-de,Diario Financiero,conflicto,0.5932344794273376
